area,perimeter,height,width,r_value,g_value,b_value,index,label
203,221.0331298,277,365,209,170,83,12,1
243.5,28.02497809,277,365,215,168,85,12,1
224,95.60285611,277,365,215,164,114,12,1
227,2.8,277,365,210,168,118,13,1
237,19.97644997,277,365,213,165,118,12,1
225.5,6.594112492,277,365,207,172,52,13,1
234.5,2.4,277,365,203,174,60,12,1
238.5,270.5056248,277,365,207,167,42,13,1
230,250.7232862,277,365,205,164,36,12,1
216,341.1614681,277,365,206,162,69,12,1
207.5,529.4790429,277,365,203,160,70,12,1
237.5,254.3919159,277,365,208,124,71,12,1
240,258.9978041,277,365,188,123,77,13,1
202,218.382162,277,365,210,164,80,12,1
244.5,418.7956068,277,365,204,161,108,13,1
246,251.7880491,277,365,216,161,73,12,1
221,205.3076464,277,365,218,154,55,12,1
501,416.7878742,277,365,194,158,103,14,1
189.5,0,277,365,205,152,100,14,1
210,3.414213538,277,365,203,160,104,12,1
203,10.4,277,365,206,148,108,11,1
230,476.2741659,277,365,215,162,98,12,1
227.5,11.65685415,277,365,210,166,100,13,1
219,296.8487696,277,365,217,161,76,13,1
238.5,452.4427055,277,365,196,113,65,12,1
219.5,228.6615552,277,365,211,159,113,12,1
243,299.6051196,277,365,202,117,70,13,1
239.5,33.65685415,277,365,176,131,106,12,1
239.5,5.656854153,277,365,210,173,90,13,1
198.5,1.6,277,365,227,159,67,14,1
197.5,219.5135324,277,365,211,163,83,12,1
194,7.919595814,277,365,215,166,71,13,1
207,17.67350621,277,365,197,159,65,12,1
191.5,715.8993856,277,365,231,125,51,13,1
284,32.83330412,277,365,209,162,110,13,1
212,369.5115115,277,365,218,159,75,12,1
233,393.7084811,277,365,220,164,118,11,1
242,65.61807995,277,365,222,158,108,13,1
215,303.7472535,277,365,222,172,124,11,1
225,454.7456506,277,365,207,152,77,12,1
237.5,4.779898953,277,365,205,146,79,12,1
271.5,549.1249596,277,365,215,156,77,12,1
187,5.794112492,277,365,211,167,77,11,1
194.5,14.83675311,277,365,198,174,88,12,1
189.5,2.4,277,365,223,167,62,13,1
205.5,42.18376648,277,365,222,177,137,11,1
183,1.6,277,365,225,173,128,12,1
222.5,300.7919161,277,365,212,167,67,13,1
215.5,359.8144558,277,365,217,161,73,12,1
207,8.73969686,277,365,195,162,110,10,1
222.5,2.4,277,365,188,134,112,13,1
249.5,20.77644997,277,365,201,167,85,13,1
248.5,321.3507054,277,365,223,163,104,12,1
217.5,313.0428846,277,365,219,162,103,12,1
237,404.1819859,277,365,212,166,74,10,1
224.5,2.8,277,365,216,166,80,10,1
222,310.6761869,277,365,209,163,92,13,1
252.5,5.2,277,365,209,143,97,13,1
220,400.9084803,254,154,202,133,59,14,2
218,279.462983,254,159,207,163,77,12,2
