r_value,g_value,b_value,label
213,148,77,3
209,159,52,3
212,145,26,3
211,157,58,3
211,164,72,3
210,168,109,3
212,153,85,3
209,150,48,3
213,149,110,3
212,171,85,3
209,166,69,3
211,157,88,3
211,163,55,3
211,153,96,3
212,166,50,3
210,154,5,3
209,165,72,3
210,167,74,3
212,162,61,3
210,150,109,3
209,147,100,3
210,172,67,3
210,165,43,3
211,164,36,3
212,159,94,3
212,148,82,3
209,168,42,3
212,152,131,3
213,164,104,3
210,173,93,3
209,159,76,3
212,165,111,3
212,153,44,3
211,102,63,3
210,137,105,3
209,164,79,3
212,151,102,3
211,165,121,3
211,164,83,3
209,149,33,3
209,151,80,3
213,153,61,3
212,151,55,3
209,125,69,3
210,155,80,3
209,153,83,3
213,155,75,3
211,178,111,3
212,153,69,3
212,163,98,3
209,159,18,3
212,158,42,3
212,144,61,3
211,163,63,3
209,170,83,3
213,165,103,3
212,151,17,3
211,152,27,3
209,159,105,3
209,168,64,3
211,164,37,3
209,157,99,3
212,125,64,3
211,167,51,3
212,166,61,3
210,168,118,3
210,169,101,3
210,163,87,3
210,167,70,3
209,164,69,3
210,128,49,3
210,154,91,3
210,161,79,3
213,127,60,3
209,155,54,3
209,139,55,3
208,124,71,3
211,156,117,3
212,118,76,3
213,119,86,3
212,148,2,3
210,147,48,3
212,149,71,3
210,113,65,3
211,147,71,3
210,148,70,3
210,148,70,3
210,164,80,3
209,154,123,3
210,142,64,3
212,150,23,3
213,174,88,3
211,166,108,3
210,162,112,3
212,158,14,3
210,155,19,3
209,170,90,3
212,157,68,3
210,166,100,3
213,143,89,3
213,149,91,3
211,162,113,3
213,153,63,3
213,162,67,3
209,103,68,3
210,115,77,3
212,160,45,3
209,157,106,3
211,159,113,3
210,173,90,3
211,163,83,3
209,162,110,3
212,156,80,3
211,167,77,3
212,167,67,3
212,166,74,3
209,163,92,3
209,143,97,3
211,165,83,3
212,161,18,3
208,159,74,3
211,165,83,3
212,157,62,3
208,154,69,3
212,151,28,3
211,165,86,3
211,153,22,3
212,153,89,3
212,167,87,3
211,135,88,3
209,153,112,3
212,164,113,3
211,163,115,3
211,164,103,3
211,141,27,3
210,167,65,3
212,141,66,3
209,163,68,3
211,164,87,3
210,161,68,3
212,164,31,3
210,163,98,3
209,158,106,3
212,170,86,3
211,157,58,3
210,166,107,3
211,165,55,3
212,164,109,3
209,164,62,3
211,177,47,3
210,160,70,3
212,164,72,3
211,168,111,3
212,160,75,3
209,167,36,3
209,170,104,3
209,165,74,3
212,166,113,3
208,121,63,3
210,165,70,3
208,166,98,3
212,162,98,3
211,159,89,3
209,158,84,3
210,159,117,3
209,164,84,3
