area,perimeter,height,width,r_value,g_value,b_value,index,label
203.5,284.87232,274,381,219,163,99,11,1
232,396.2790434,274,381,218,147,107,13,1
218,285.1801422,274,381,220,158,44,13,1
199.5,238.4390157,274,381,220,169,99,12,1
227,403.8893893,274,381,219,151,98,12,1
174.5,210.5096663,274,381,219,142,88,14,1
229.5,127.8822498,274,381,219,151,87,13,1
220,511.3627208,274,381,221,164,107,13,1
217,327.9482646,274,381,223,152,29,12,1
178.5,219.1787125,274,381,225,150,89,11,1
181.5,3.6,274,381,225,159,90,12,1
234.5,0,274,381,218,155,19,12,1
213,289.431108,274,381,222,139,26,13,1
236,15.89949477,274,381,227,153,64,12,1
228,61.45584369,275,381,220,164,108,13,1
199.5,213.7644986,275,381,219,160,102,14,1
179.5,6.242640615,275,381,218,121,70,13,1
207.5,350.9409492,275,381,226,128,91,13,1
233.5,353.8997376,275,381,221,131,98,13,1
219.5,24.97056246,275,381,223,162,109,11,1
217,0,275,381,226,161,105,11,1
219,2,275,381,226,155,99,13,1
207,30.48528123,275,381,223,112,71,12,1
193.5,240.2331299,275,381,220,170,100,13,1
223.5,99.88224945,275,381,223,159,36,11,1
226,792.9420268,275,381,220,152,36,13,1
248.5,18.49705625,275,381,222,155,46,13,1
236.5,247.705626,275,381,219,151,41,13,1
228,180.2601282,275,381,218,140,66,11,1
212.5,418.7594472,275,381,226,145,57,13,1
248.5,6.497056246,275,381,223,164,77,12,1
229,492.3289995,275,381,219,135,79,14,1
259,285.2938489,275,381,218,155,21,11,1
255,288.9624794,275,381,224,147,34,12,1
266.5,324.8252201,275,381,223,147,35,11,1
215,515.249606,275,381,220,170,109,12,1
246,29.07106769,275,381,220,162,86,11,1
206,230.8272406,275,381,218,168,66,9,1
248,9.891168737,275,381,225,150,69,13,1
249,273.5115126,275,381,219,158,100,11,1
224.5,335.5565917,275,381,219,152,93,13,1
211,268.4036907,275,381,220,157,74,15,1
203,3.6,275,381,221,123,72,12,1
189,11.58822498,275,381,218,144,83,12,1
186.5,226.1076467,275,381,222,179,118,14,1
199,1009.300641,275,381,218,157,26,11,1
212.5,218.2213554,275,381,223,157,82,12,1
194.5,484.7350619,275,381,221,150,64,17,1
219,393.019333,275,381,220,171,119,13,1
223.5,15.45096664,275,381,221,140,69,13,1
196.5,4.779898953,275,381,221,152,86,13,1
192,17.65685415,275,381,220,150,13,11,1
225.5,193.7194201,275,381,224,160,110,12,1
235,43.83919163,275,381,222,161,89,12,1
216.5,22.48528123,275,381,225,152,45,13,1
206,379.5046141,275,381,223,175,92,14,1
222,595.7087217,275,381,219,162,84,13,1
210.5,303.6036909,275,381,219,157,95,12,1
214,16.2308656,275,381,218,159,87,12,1
185,169.2548332,275,381,234,157,75,13,1
239.5,247.1683675,275,381,222,132,57,11,1
231,0,275,381,220,150,24,12,1
221.5,2.828427076,275,381,226,157,50,14,1
230.5,13.51959581,275,381,219,161,95,11,1
233,23.72548332,275,381,225,162,86,10,1
189.5,28.61909058,275,381,222,164,88,11,1
251.5,13.51959581,275,381,224,155,87,13,1
224,4.779898953,275,381,220,165,99,13,1
234,13.34558437,275,381,221,151,34,12,1
234,395.7472545,275,381,222,154,19,12,1
199,0,275,381,223,148,46,14,1
235.5,742.2287364,275,381,219,155,54,13,1
241.5,34.49015827,275,381,225,159,106,12,1
235.5,156.4057119,275,381,228,155,109,11,1
231.5,287.5046138,275,381,218,151,10,10,1
236,4.097056246,275,381,221,159,101,13,1
232,5.794112492,275,381,221,150,22,11,1
219.5,372.475176,275,381,219,154,9,11,1
222,365.9898959,275,381,218,154,57,13,1
249,357.9898945,275,381,227,143,58,13,1
